Position,FullName,FirstName,LastName,RawTime,RoundedTime,Year,School,Date,Meet,
6369,Zachary Dale,Zachary,Dale,4:18.49,4:18,Jr,Ave Maria (Fla.),"March 22, 2024",UCF Knights Invitational,
6370,Amartya Poovaiah,Amartya,Poovaiah,4:18.50,4:19,Fr,Chabot,"March 29, 2024",Mike Fanelli Track Classic,
6371,Drew Pate,Drew,Pate,4:18.50,4:19,So,Clarke (Iowa),"April 6, 2024",Mississippi River Rumble,
6372,Murray Copps,Murray,Copps,4:18.50,4:19,Fr,RPI,"April 11, 2024",RPI Friday Night Under the Lights,
6373,Joe Scherer,Joe,Scherer,4:18.50,4:19,Jr,John Carroll,"April 19, 2024",54th Sparky Adams Invitational,
6374,KJ Popiel,KJ,Popiel,4:18.51,4:19,Fr,Detroit Mercy,"March 29, 2024",Eastern Illinois Big Blue Classic,
6375,Jack Eaton,Jack,Eaton,4:18.51,4:19,Fr,Canyons (Calif.),"April 12, 2024",Cerritos Invitational,
6376,Andrew Cheng,Andrew,Cheng,4:18.51,4:19,Sr,Swarthmore,"April 13, 2024",Bill Butler Collegiate Invitational,
6377,Howie Vargas,Howie,Vargas,4:18.51,4:19,Fr,SUNY Brockport,"May 11, 2024",Williams College The FIRE Meet,
6378,Zackery Carver,Zackery,Carver,4:18.52,4:19,So,Converse,"March 16, 2024",49er Classic,
6379,Blake Wayman,Blake,Wayman,4:18.55,4:19,Fr,Everett (Wash.) CC,"March 2, 2024",Ed Boitano Invitational,
6380,Trent Taylor,Trent,Taylor,4:18.55,4:19,Sr,Wilmington (Del.),"March 16, 2024",Towson Season Opener,
6381,David Skelton,David,Skelton,4:18.55,4:19,So,Salt Lake (Utah) CC,"March 29, 2024",Mike Fanelli Track Classic,
6382,Connor Rust,Connor,Rust,4:18.55,4:19,Sr,Chicago,"April 13, 2024",Wheaton College Invitational,
6383,Ben Morrey,Ben,Morrey,4:18.55,4:19,So,Saint Xavier (Ill.),"April 13, 2024",ONU Tiger Open,
6384,Manuel Leos,Manuel,Leos,4:18.55,4:19,Fr,Cowley (Kan.),"April 19, 2024",KWU Distance Carnival,
6385,Larry Trefry,Larry,Trefry,4:18.56,4:19,Fr,George Fox,"March 2, 2024",Linfield Erik Anderson Icebreaker Memorial Invitational,
6386,Kade Minton,Kade,Minton,4:18.56,4:19,Jr,Hampden-Sydney,"March 30, 2024",Blue & Silver Challenge,
6387,Cole Sikorski,Cole,Sikorski,4:18.56,4:19,So,Saint Francis (Ind.),"April 20, 2024",Mike Becraft Invitational,
6388,Steiner Christensen,Steiner,Christensen,4:18.58,4:19,Jr,Central Washington,"March 16, 2024",PLU Open,
6389,Bryant Edgerton,Bryant,Edgerton,4:18.58,4:19,Sr,Montana St.-Billings,"March 16, 2024","Yellowjacket - Battlin"" Bear Icebreaker",
6390,Ryan Alyassir,Ryan,Alyassir,4:18.58,4:19,So,MSOE,"April 12, 2024",Marquette Invitational,
6391,Mark Tiersma,Mark,Tiersma,4:18.58,4:19,Fr,Evergreen State (Wash.),"April 20, 2024",Central Washington Invitational,
6392,Owen Delisle,Owen,Delisle,4:18.59,4:19,So,Sacred Heart,"April 6, 2024",Wright Outdoor Invite,
6393,Cooper Neeble,Cooper,Neeble,4:18.59,4:19,Sr,UNCG,"April 13, 2024",Dennis Craddock Coaches Classic,
6394,Adian Starling,Adian,Starling,4:18.59,4:19,Fr,Grambling State,"May 2, 2024",2024 SWAC OTF Championship,
6395,Kollin Tidman,Kollin,Tidman,4:18.59,4:19,Fr,Crowder (Mo.),"May 3, 2024",Arkansas Twilight,
6396,Sean Ede,Sean,Ede,4:18.61,4:19,Sr,UMSL,"March 22, 2024",Missouri S&T Miner Invitational,
6397,Ben Chase,Ben,Chase,4:18.61,4:19,Sr,Merrimack,"April 27, 2024",Skyhawk Invitational (outdoor),
6398,Brandon Mulholland,Brandon,Mulholland,4:18.62,4:19,So,SUNY Cortland,"April 13, 2024",Cortland Upstate Alternative,
6399,Joshua Woodley,Joshua,Woodley,4:18.63,4:19,Jr,Roanoke,"April 20, 2024",WildCat Invitational,
6400,Terrance Johnson,Terrance,Johnson,4:18.64,4:19,Jr,Arkansas-Pine Bluff,"March 16, 2024",Jim Mize Invitational,
6401,James Henry,James,Henry,4:18.64,4:19,So,Alvernia,"March 23, 2024",Dr. Jack M Toms Invitational ,
6402,Jacob Stetzel,Jacob,Stetzel,4:18.64,4:19,So,Indiana Tech,"April 6, 2024",George Glass Invitational,
6403,Lane Regan,Lane,Regan,4:18.65,4:19,So,Illinois Tech,"April 25, 2024",Elmhurst Twilight,
6404,Ethan Davis,Ethan,Davis,4:18.66,4:19,Jr,Belmont Abbey,"March 22, 2024",Phoenix Invitational,
6405,Aidan Junior,Aidan,Junior,4:18.66,4:19,So,Washburn,"March 22, 2024",Fort Hays State Spring Invite,
6406,Kyle Awelagte,Kyle,Awelagte,4:18.67,4:19,So,Trinidad State (Colo.),"March 30, 2024",Chuck Haering Classic,
6407,Peter Giles,Peter,Giles,4:18.69,4:19,Jr,Columbia (Mo.),"April 6, 2024",Illinois College True Blue Invite,
6408,Nathaniel Trevino,Nathaniel,Trevino,4:18.70,4:19,So,Trinity (Texas),"March 22, 2024",Texas Lutheran DIII Challenge,
6409,QiAden Marks,QiAden,Marks,4:18.70,4:19,So,Central State,"April 25, 2024",SIAC Outdoor Championships,
6410,Gavin Celista,Gavin,Celista,4:18.71,4:19,Fr,Ouachita Baptist,"April 6, 2024",Harding Bison Open,
6411,Emanuele Ferrari,Emanuele,Ferrari,4:18.72,4:19,Fr,Wingate,"March 16, 2024",49er Classic,
6412,Aidan Loughlin,Aidan,Loughlin,4:18.72,4:19,So,Ithaca,"April 19, 2024",The Coach Pollard Invitational,
6413,David Hartman,David,Hartman,4:18.73,4:19,So,Otterbein,"April 5, 2024",Wooster Invitational,
6414,Alberto Guevara,Alberto,Guevara,4:18.73,4:19,Fr,UC Merced (Calif.),"April 6, 2024",Pomona-Pitzer T&F Invite,
6415,Leo Gartlan,Leo,Gartlan,4:18.73,4:19,Fr,Loras,"April 12, 2024",UW-Platteville Invitational,
6416,Dylan Souza,Dylan,Souza,4:18.73,4:19,Jr,Lewis & Clark,"April 13, 2024",L&C Larry Byerly Invite,
6417,Brian Fackert,Brian,Fackert,4:18.74,4:19,Fr,American River (Calif.),"March 9, 2024",Occidental Distance Carnival & Spring Break Classic,
6418,Rodolfo Juarez,Rodolfo,Juarez,4:18.74,4:19,Fr,Western Texas,"March 16, 2024",Wes Kittley Invitational,
6419,Maluke Cluver,Maluke,Cluver,4:18.74,4:19,Jr,UT Martin,"March 30, 2024",Joey Haines Invitational,
6420,Dylan Cronin,Dylan,Cronin,4:18.74,4:19,Jr,UC Santa Cruz,"April 13, 2024",The Chuck Buettner Twilight,
6421,Jadon Gonzales,Jadon,Gonzales,4:18.74,4:19,Jr,Piedmont,"April 27, 2024",Cole Piper Open,
6422,Jackson Thoe,Jackson,Thoe,4:18.74,4:19,Jr,Minnesota State,"April 27, 2024",Drake Alternative,
6423,Hunter Hughes,Hunter,Hughes,4:18.75,4:19,Jr,Rowan,"April 26, 2024",TCNJ Lions Invite,
6424,Deshawn Burks,Deshawn,Burks,4:18.76,4:19,So,Hastings (Neb.),"April 19, 2024",Jim Dutcher Classic,
6425,Lucas Cisneros,Lucas,Cisneros,4:18.76,4:19,So,Fort Hays State,"April 25, 2024",Alex Francis Classic,
6426,Zachary Landvik-Larsen,Zachary,Landvik-Larsen,4:18.77,4:19,Sr,Goldey-Beacom,"March 22, 2024",Stockton Invite,
6427,Zachary Matzner,Zachary,Matzner,4:18.77,4:19,Sr,Sioux Falls,"April 5, 2024",USD Early Bird,
6428,Jaron Richardson,Jaron,Richardson,4:18.79,4:19,Fr,Rhodes,"March 2, 2024",MC Spring Cleaning,
6429,Ian McArthur,Ian,McArthur,4:18.79,4:19,Fr,Occidental,"March 9, 2024",Occidental Distance Carnival & Spring Break Classic,
6430,Benjamin Dethlefsen,Benjamin,Dethlefsen,4:18.79,4:19,Fr,Santa Rosa (Calif.) JC,"March 21, 2024",Pat Ryan Invitational,
6431,William Cornick,William,Cornick,4:18.79,4:19,Fr,NYU,"March 22, 2024",Thrills In The Hills,
6432,Braedan Gallagher,Braedan,Gallagher,4:18.79,4:19,So,William & Mary,"March 30, 2024",Blue & Silver Challenge,
6433,Christopher Hermann,Christopher,Hermann,4:18.79,4:19,So,Ave Maria (Fla.),"April 5, 2024",Hurricane Alumni Invitational,
6434,Andrew Madsen,Andrew,Madsen,4:18.79,4:19,Sr,Holy Cross,"April 20, 2024",Holy Cross Invitational,
6435,Lucas Tutrow,Lucas,Tutrow,4:18.80,4:19,So,Trine,"March 28, 2024",Marian University - Knight Open,
6436,Abel Hagos,Abel,Hagos,4:18.80,4:19,Jr,RPI,"April 26, 2024",RPI Capital District Classic,
6437,Jakob Seamans,Jakob,Seamans,4:18.80,4:19,Fr,Marywood,"April 27, 2024",Paul Kaiser Classic,
6438,Dawson Romito,Dawson,Romito,4:18.80,4:19,Fr,Lesley,"April 28, 2024",NAC Conference Championships 2024,
6439,Brandon Mitzel,Brandon,Mitzel,4:18.80,4:19,Jr,Wayne State (Neb.),"May 3, 2024",USD Tune Up,
6440,Jacob Cosio,Jacob,Cosio,4:18.81,4:19,Fr,Cerritos,"February 16, 2024",Cerritos Open and Multi,
6441,David Hernandez,David,Hernandez,4:18.81,4:19,Jr,Texas A&M-Texarkana,"March 30, 2024",OBU Invite,
6442,Luis Lopez,Luis,Lopez,4:18.81,4:19,Fr,Saint Xavier (Ill.),"April 5, 2024",Chicagoland Championships,
6443,Jacob Niednagel,Jacob,Niednagel,4:18.82,4:19,Fr,"The Master""s (Calif.)","April 6, 2024",Pomona-Pitzer T&F Invite,
6444,Brody Ferderer,Brody,Ferderer,4:18.83,4:19,Fr,Bismarck State (N.D.),"April 25, 2024",U-Mary Classic,
6445,Ian Matheson,Ian,Matheson,4:18.84,4:19,Sr,Bowdoin,"March 23, 2024",Wesleyan - Swanson Invitational,
6446,Brandon Thompson,Brandon,Thompson,4:18.85,4:19,Fr,Northwood (Mich.),"March 22, 2024",Polar Bear Invitational (Indiana Wesleyan),
6447,Jack Staggs,Jack,Staggs,4:18.85,4:19,So,Wisconsin Lutheran,"March 28, 2024",Wisconsin Lutheran Warrior Invitational,
6448,Hong Bing Tang,Hong,Bing Tang,4:18.85,4:19,So,Central Michigan,"April 6, 2024",Golden Grizzlies,
6449,Dean Erdkamp,Dean,Erdkamp,4:18.86,4:19,Sr,Neb.-Kearney,"March 22, 2024",Fort Hays State Spring Invite,
6450,Jovanni Avila,Jovanni,Avila,4:18.86,4:19,Fr,Chicago State,"March 29, 2024",Eastern Illinois Big Blue Classic,
6451,Brandon Farnsworth,Brandon,Farnsworth,4:18.86,4:19,Sr,Redlands (Calif.),"March 30, 2024",SCIAC Multi-Dual,
6452,Max Bowyer,Max,Bowyer,4:18.86,4:19,So,Fort Hays State,"April 12, 2024",ESU Midwest Classic,
6453,Bernard Chebures,Bernard,Chebures,4:18.88,4:19,Jr,SCAD Atlanta (Ga.),"March 29, 2024",Kenneshaw State Invitational,
6454,Hayden Goyette,Hayden,Goyette,4:18.88,4:19,Jr,Colby-Sawyer,"March 30, 2024",SNHU Spring Invitational,
6455,Anthony Arredondo,Anthony,Arredondo,4:18.88,4:19,Jr,Oglethorpe,"April 12, 2024",Berry Field Day Invitatinal,
6456,Denis Kale,Denis,Kale,4:18.88,4:19,Fr,IU East (Ind.),"April 26, 2024",RSC Outdoor Track & Field Championships,
6457,Aidan Scott,Aidan,Scott,4:18.89,4:19,Jr,Western Colorado,"March 30, 2024",Chuck Haering Classic,
6458,Duncan DeProfio,Duncan,DeProfio,4:18.90,4:19,Fr,Williams,"April 12, 2024",Carla Coffey Classic,
6459,Robert Galan,Robert,Galan,4:18.90,4:19,Fr,Detroit Mercy,"May 3, 2024",Horizon League,
6460,Trevor Ehrlicher,Trevor,Ehrlicher,4:18.92,4:19,Fr,Fairleigh Dickinson,"March 22, 2024",Rider 5-Way,
6461,Daniel Barberio,Daniel,Barberio,4:18.92,4:19,Jr,New Haven,"March 23, 2024",Wesleyan - Swanson Invitational,
6462,Nolan Bakken,Nolan,Bakken,4:18.93,4:19,Fr,Minnesota Duluth,"April 6, 2024",Wartburg Outdoor Select,
6463,Nash Mills,Nash,Mills,4:18.94,4:19,So,UNC-Wilmington,"March 22, 2024",Phoenix Invitational,
6464,Will Inglis,Will,Inglis,4:18.94,4:19,Fr,Elizabethtown,"March 27, 2024",York College Twilight Meet,
6465,Aidan Loeffelman,Aidan,Loeffelman,4:18.95,4:19,Fr,Seattle,"March 29, 2024",Mike Fanelli Track Classic,
6466,Josiah Schroeder,Josiah,Schroeder,4:18.95,4:19,Fr,Sioux Falls,"April 12, 2024",Minnesota State Open,
6467,Mario Avila,Mario,Avila,4:18.95,4:19,So,Hartnell,"April 12, 2024",Cerritos Invitational,
6468,Ethan Meehle,Ethan,Meehle,4:18.95,4:19,Fr,Lake Superior State,"April 13, 2024",Chippewa Challenge,
6469,Brendan Heaney,Brendan,Heaney,4:18.95,4:19,Jr,"Saint Peter""s","May 4, 2024",MAAC Outdoor Track & Field Championships,
6470,Joseph Kelly,Joseph,Kelly,4:18.96,4:19,Jr,Baldwin Wallace,"March 30, 2024",Bob Kahn Invitational ,
6471,Khayri Davis,Khayri,Davis,4:18.96,4:19,So,Clayton State,"April 5, 2024",UWG Legends,
6472,Jonah Galli,Jonah,Galli,4:18.97,4:19,Fr,Brewton-Parker (Ga.),"March 22, 2024",Southern Relays,
6473,Sebastian Sawyer,Sebastian,Sawyer,4:18.97,4:19,Sr,Cal Lutheran,"April 6, 2024",Pomona-Pitzer T&F Invite,
6474,Charlie Maier,Charlie,Maier,4:18.98,4:19,So,UW-Stout,"April 27, 2024",Dick & Mary Johnson Invite,
6475,Kenneth Edwards,Kenneth,Edwards,4:18.99,4:19,Fr,Southern Utah,"March 22, 2024",Utah Tech Invitational,
6476,Joel Rodriguez,Joel,Rodriguez,4:18.99,4:19,Jr,East Central (Okla.),"March 23, 2024",Mark Phillips Tiger Open,
6477,David Craine,David,Craine,4:18.99,4:19,Fr,Whitman,"April 5, 2024",2024 Whitworth Peace Meet,
6478,Christian Whiteside,Christian,Whiteside,4:19.00,4:19,Sr,UNC Pembroke,"April 6, 2024",Braves Track Classic,
6479,Darian Slack,Darian,Slack,4:19.01,4:19,So,Spokane (Wash.) CC,"April 20, 2024",Cougar Classic Invitational 2024,
6480,Irenge Nkere,Irenge,Nkere,4:19.02,4:19,So,Belmont Abbey,"April 27, 2024",Conference Carolinas Championships ,
6481,Maddon McNicholas,Maddon,McNicholas,4:19.02,4:19,Fr,Gettysburg,"April 27, 2024",Paul Kaiser Classic,
6482,Joshua Llamas,Joshua,Llamas,4:19.03,4:19,Jr,Mt. San Antonio,"March 15, 2024",Riverside City College Open,
6483,Myles Andersen,Myles,Andersen,4:19.05,4:19,Sr,St. John Fisher,"April 7, 2024",UR Alumni Invitational,
6484,Charlie Richardson,Charlie,Richardson,4:19.06,4:19,Fr,Marquette,"March 30, 2024",Redbird Challenge,
6485,Ian Wiesinger,Ian,Wiesinger,4:19.06,4:19,Sr,Marist,"April 13, 2024",Bison Outdoor Classic,
6486,Mateo Useche,Mateo,Useche,4:19.06,4:19,Sr,Macalester,"April 27, 2024",Janis Rider / Doug Bolstorff Invitational,
6487,Ty Brady,Ty,Brady,4:19.07,4:19,Fr,South Dakota Mines,"March 16, 2024",Dr. Dan Caprioglio Invite,
6488,Skyler Madison,Skyler,Madison,4:19.07,4:19,Jr,Xavier (La.),"April 12, 2024",Strawberry Relays,
6489,Kai Smith,Kai,Smith,4:19.08,4:19,So,CSUN,"April 6, 2024",Triton Invitational,
6490,Kaelin Triggs,Kaelin,Triggs,4:19.09,4:19,Sr,Webster,"March 30, 2024",Central Methodist Invite,
6491,Seth Ackley,Seth,Ackley,4:19.09,4:19,Fr,Cornerstone (Mich.),"April 5, 2024",GVSU Early Meet,
6492,Kevin Farnsworth,Kevin,Farnsworth,4:19.09,4:19,Fr,Christopher Newport,"April 13, 2024",Dennis Craddock Coaches Classic,
6493,Alex Taft,Alex,Taft,4:19.09,4:19,Fr,Mount St. Joseph,"April 20, 2024",Mike Becraft Invitational,
6494,Max Silkey,Max,Silkey,4:19.10,4:19,Fr,UW-Parkside,"March 30, 2024",Joey Haines Invitational,
6495,Athanasius Kibiwott,Athanasius,Kibiwott,4:19.10,4:19,So,Kansas City,"April 6, 2024",Arkansas Spring Invitational,
6496,Keith Uitdewilligen,Keith,Uitdewilligen,4:19.10,4:19,Fr,Lewis-Clark State (Idaho),"April 13, 2024",NNU Open,
6497,Caleb Schoenberg,Caleb,Schoenberg,4:19.12,4:19,So,Missouri S&T,"March 22, 2024",Missouri S&T Miner Invitational,
6498,Brody Cermak,Brody,Cermak,4:19.13,4:19,Sr,West Liberty State,"April 13, 2024",Ohio Cherry Blossom Invitational,
6499,Andrew Frezza,Andrew,Frezza,4:19.13,4:19,Fr,Rhode Island College,"April 19, 2024",Sean Collier Invitational,
6500,Ethan Caswell,Ethan,Caswell,4:19.13,4:19,Jr,Covenant,"April 27, 2024",Cole Piper Open,
6501,Alex Alba,Alex,Alba,4:19.14,4:19,Jr,IUPUI,"March 22, 2024",Blizzard Buster,
6502,John Wickham,John,Wickham,4:19.14,4:19,So,Coffeyville (Kan.) CC,"March 23, 2024",Mark Phillips Tiger Open,
6503,Brayan Silva,Brayan,Silva,4:19.14,4:19,Sr,Grand View (Iowa),"March 28, 2024",Central College Dutch Invite,
6504,Jack Beehler,Jack,Beehler,4:19.14,4:19,So,Loras,"May 3, 2024",Battle in the Bluffs,
6505,Bryan Viera,Bryan,Viera,4:19.17,4:19,So,Ave Maria (Fla.),"April 5, 2024",Hurricane Alumni Invitational,
6506,Kaleb Traficante,Kaleb,Traficante,4:19.17,4:19,Jr,Cal Poly Humboldt,"April 6, 2024",Humboldt Invitational,
6507,Elijah Baker,Elijah,Baker,4:19.18,4:19,Sr,East Texas Baptist,"March 2, 2024",2024 Trinity Invitational,
6508,Damon Zielke,Damon,Zielke,4:19.18,4:19,Jr,UW-Stout,"April 6, 2024",Ashton May Invitational,
6509,Javoun Goldsby,Javoun,Goldsby,4:19.18,4:19,So,Wiley (Texas),"April 13, 2024",NSU Leon Johnson Invite,
6510,Zeke Colyer,Zeke,Colyer,4:19.19,4:19,So,Messiah,"March 27, 2024",York College Twilight Meet,
6511,Matt Bowker,Matt,Bowker,4:19.19,4:19,Sr,Berry,"April 5, 2024",Lee Fast Break Athletics Invitational,
6512,Dakota Sheppard,Dakota,Sheppard,4:19.19,4:19,Jr,University of Tennessee Southern,"April 5, 2024",UWG Legends,
6513,Jair Smith,Jair,Smith,4:19.20,4:19,Fr,Goucher,"March 16, 2024",Towson Season Opener,
6514,Timothy Hoffstaetter,Timothy,Hoffstaetter,4:19.21,4:19,Sr,Roanoke,"March 22, 2024",Doc Jopson Track & Field Invitational,
6515,Archie McKissick,Archie,McKissick,4:19.21,4:19,So,Geneva,"April 26, 2024",2024 PAC T&F Championship,
6516,Kai Ushikubo,Kai,Ushikubo,4:19.22,4:19,Fr,Northwest (Wash.),"April 5, 2024",Doris Heritage Track Festival,
6517,Ethan Leonard,Ethan,Leonard,4:19.24,4:19,Jr,"Saint John""s (Minn.)","April 12, 2024",Minnesota State Open,
6518,Jack Flanagan,Jack,Flanagan,4:19.24,4:19,So,Manhattan,"April 26, 2024",Vassar April Twilight,
6519,Jose Saucedo,Jose,Saucedo,4:19.25,4:19,So,Our Lady of the Lake (Texas),"March 23, 2024",Charles Austin Classic,
6520,Jacob Taylor,Jacob,Taylor,4:19.25,4:19,Fr,Alfred,"March 30, 2024",Geneseo Early Season Invitational,
6521,Connor Gabay,Connor,Gabay,4:19.25,4:19,Fr,UW-Stout,"April 6, 2024",Ashton May Invitational,
6522,Kohen Stover,Kohen,Stover,4:19.25,4:19,Jr,Lock Haven,"April 27, 2024",Bloomsburg,
6523,Keaton Schnippel,Keaton,Schnippel,4:19.25,4:19,Fr,Ohio Northern,"April 27, 2024",Ashland Alumni Open,
6524,Wesley Vargas,Wesley,Vargas,4:19.26,4:19,Sr,Incarnate Word,"March 23, 2024",Charles Austin Classic,
6525,Deandre Hall,Deandre,Hall,4:19.27,4:19,So,IU East (Ind.),"April 6, 2024",George Glass Invitational,
6526,William Brown,William,Brown,4:19.29,4:19,Jr,New Haven,"April 20, 2024",Jack Maloney Invitational,
6527,Braydon Malley,Braydon,Malley,4:19.29,4:19,So,Elizabethtown,"May 4, 2024",Landmark Outdoor Track & Field Championships,
6528,Paul Proteau,Paul,Proteau,4:19.30,4:19,So,UW-Oshkosh,"April 6, 2024",Ashton May Invitational,
6529,Brooks Johnson,Brooks,Johnson,4:19.30,4:19,Fr,Berry,"April 12, 2024",Berry Field Day Invitatinal,
6530,James Short,James,Short,4:19.30,4:19,-,Virginia Tech Club,"April 20, 2024",WildCat Invitational,
6531,Michael Parzych,Michael,Parzych,4:19.31,4:19,Sr,Eastern Connecticut State,"April 20, 2024",Eastern Edmondson Classic,
6532,Devin Page,Devin,Page,4:19.31,4:19,Fr,North Texas-Dallas,"April 26, 2024",Sooner Athletic Outdoor Championships,
6533,Roman Zozulya,Roman,Zozulya,4:19.31,4:19,Sr,California Baptist,"May 9, 2024",WAC Outdoor Championships,
6534,Jonathan Fossel,Jonathan,Fossel,4:19.32,4:19,Sr,Connecticut College,"April 20, 2024",Trinity Invitational,
6535,Caleb Stephen,Caleb,Stephen,4:19.33,4:19,So,Stevens,"April 6, 2024",Muhlenberg Invite,
6536,Jason Mercado,Jason,Mercado,4:19.33,4:19,Sr,Ramapo,"April 19, 2024",The Coach Pollard Invitational,
6537,Omar Mohamed,Omar,Mohamed,4:19.33,4:19,So,Mohawk Valley (N.Y.) CC,"April 26, 2024",RPI Capital District Classic,
6538,Ryan Bernstein,Ryan,Bernstein,4:19.34,4:19,So,Carleton,"April 20, 2024",Carleton Relays,
6539,Jakob Gerlach,Jakob,Gerlach,4:19.35,4:19,Fr,Lees-McRae,"March 24, 2024",Montreat Open,
6540,Luke Schmidt,Luke,Schmidt,4:19.35,4:19,Jr,Bethel (Kan.),"March 28, 2024",ESU Relays,
6541,Andrew Blankenship,Andrew,Blankenship,4:19.35,4:19,So,Neosho County (Kan.) CC,"April 20, 2024",PSU Tune-Up,
6542,Mateo Meza-Melendez,Mateo,Meza-Melendez,4:19.36,4:19,So,UW-Stout,"April 6, 2024",Ashton May Invitational,
6543,Noah Andres,Noah,Andres,4:19.37,4:19,So,Corban (Ore.),"April 20, 2024",2024 Raider Invitational,
6544,Evan Peterson,Evan,Peterson,4:19.37,4:19,Fr,UW-Oshkosh,"April 25, 2024",UW-W Drake Alternative,
6545,Peyton Hartman,Peyton,Hartman,4:19.38,4:19,Sr,Wisconsin Lutheran,"April 6, 2024",Wisconsin Private College Championships,
6546,Bryan Friedel,Bryan,Friedel,4:19.38,4:19,So,SUNY Geneseo,"April 20, 2024",SUNY Geneseo Quad,
6547,Andrew Sandoval,Andrew,Sandoval,4:19.39,4:19,So,Cal State East Bay,"February 23, 2024",Chabot Opener,
6548,Nathan Theriot,Nathan,Theriot,4:19.39,4:19,So,Louisiana Tech,"March 16, 2024",Jim Mize Invitational,
6549,Dakota Ames,Dakota,Ames,4:19.39,4:19,Sr,Grace (Ind.),"March 22, 2024",Polar Bear Invitational (Indiana Wesleyan),
6550,Jarrett Gulden,Jarrett,Gulden,4:19.39,4:19,Sr,WPI,"March 30, 2024",Corsair Invitational,
6551,Derek Garmire,Derek,Garmire,4:19.41,4:19,Jr,Carthage,"April 13, 2024",Wheaton College Invitational,
6552,Barrett Poe,Barrett,Poe,4:19.42,4:19,Fr,Freed-Hardeman (Tenn.),"March 22, 2024",Margaret Simmons Invitational,
6553,Hayden Roth,Hayden,Roth,4:19.42,4:19,Fr,Southern Oregon,"April 6, 2024",Humboldt Invitational,
6554,Alfonso Hernandez,Alfonso,Hernandez,4:19.42,4:19,Fr,Phoenix (Ariz.),"April 19, 2024",Mesa Invitational,
6555,Aaron Wilson,Aaron,Wilson,4:19.43,4:19,Jr,Emory and Henry,"March 22, 2024",Phoenix Invitational,
6556,Jack Crowley,Jack,Crowley,4:19.43,4:19,Fr,Nichols,"April 25, 2024",Commonwealth Coast Outdoor Championships,
6557,Nick Falsone,Nick,Falsone,4:19.43,4:19,So,West Chester,"April 26, 2024",WCU Tune Up,
6558,Keith Wiley,Keith,Wiley,4:19.44,4:19,-,University of Tennessee Club,"April 27, 2024",Cole Piper Open,
6559,Mark Hasbrouck,Mark,Hasbrouck,4:19.44,4:19,So,North Central (Ill.),"May 9, 2024",NCC Carius/Gregory Meet,
6560,Terrell Williams,Terrell,Williams,4:19.45,4:19,Sr,Fort Valley State,"March 2, 2024",Susan Rouse Invte,
6561,Denver Norcross,Denver,Norcross,4:19.46,4:19,Sr,Southern Virginia,"March 15, 2024",WLU Carnival,
6562,David Stephens,David,Stephens,4:19.47,4:19,So,Colgate,"March 30, 2024",Hamilton College Continental Invitational,
6563,Jon Hansen,Jon,Hansen,4:19.47,4:19,Fr,Montana Tech,"April 20, 2024",Montana Open,
6564,James Shue,James,Shue,4:19.48,4:19,So,Catawba,"March 22, 2024",Phoenix Invitational,
6565,Brandon Ellis,Brandon,Ellis,4:19.48,4:19,So,Indianapolis,"March 28, 2024",Marian University - Knight Open,
6566,Christopher Christiano,Christopher,Christiano,4:19.49,4:19,Jr,Mount Saint Mary (N.Y.),"April 19, 2024",Bobbie Palma UALBANY Spring Classic,
6567,Kai Chang,Kai,Chang,4:19.50,4:19,So,Vassar,"March 16, 2024",West Point Spring Open,
6568,Chris Valderamma,Chris,Valderamma,4:19.50,4:19,So,San Bernardino Valley (Calif.),"April 12, 2024",Cerritos Invitational,
6569,Luke Valerio,Luke,Valerio,4:19.50,4:19,So,Chapman,"April 13, 2024","SCIAC Multi-Dual #3 (CU, CMS, OC, UR, WC)",
6570,Lee Thomas,Lee,Thomas,4:19.51,4:20,Jr,Barton,"March 22, 2024",Phoenix Invitational,
6571,Braden Taylor,Braden,Taylor,4:19.51,4:20,So,Midland (Neb.),"April 5, 2024",Concordia Invite,
6572,Jacob Malinoff,Jacob,Malinoff,4:19.52,4:20,Sr,Saint Xavier (Ill.),"April 5, 2024",Chicagoland Championships,
6573,Jack Devries,Jack,Devries,4:19.53,4:20,Fr,San Diego,"March 22, 2024",45th Aztec Invitational (Day 2),
6574,CJ Johnson,CJ,Johnson,4:19.53,4:20,Fr,Daemen,"April 6, 2024",Dave Labor Slippery Rock Invitational,
6575,Tyler Burns,Tyler,Burns,4:19.53,4:20,Fr,Saint Louis,"April 13, 2024",Cougar Classic,
6576,Josh Maier,Josh,Maier,4:19.55,4:20,So,Trine,"March 28, 2024",Marian University - Knight Open,
6577,Daniel Rodriguez,Daniel,Rodriguez,4:19.55,4:20,Jr,Sacred Heart,"April 14, 2024",Merrimack Alumni Classic,
6578,Timothy Salicco,Timothy,Salicco,4:19.55,4:20,Sr,Queens (N.C.),"April 27, 2024",2024 Charlotte Invite,
6579,Charlie Hayden,Charlie,Hayden,4:19.56,4:20,Jr,Concordia (Neb.),"April 5, 2024",Concordia Invite,
6580,Mohamed Nidaazzi,Mohamed,Nidaazzi,4:19.56,4:20,Sr,Ramapo,"April 6, 2024",Metropolitan Championships,
6581,Joseph Ayala,Joseph,Ayala,4:19.56,4:20,Jr,SUNY Oneonta,"April 26, 2024",RPI Capital District Classic,
6582,Spencer Etheridge,Spencer,Etheridge,4:19.57,4:20,Fr,Swarthmore,"April 13, 2024",Bill Butler Collegiate Invitational,
